Best parameters found: {'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}
media: 0.697  desvio: (+/-0.210)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 8} 
media: 0.680  desvio: (+/-0.208)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 10} 
media: 0.710  desvio: (+/-0.187)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 12} 
media: 0.721  desvio: (+/-0.127)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 14} 
media: 0.711  desvio: (+/-0.252)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 14, 'min_samples_split': 16} 
media: 0.698  desvio: (+/-0.222)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 2} 
media: 0.681  desvio: (+/-0.251)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 4} 
media: 0.686  desvio: (+/-0.234)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 6} 
media: 0.721  desvio: (+/-0.198)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 8} 
media: 0.696  desvio: (+/-0.133)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 10} 
media: 0.708  desvio: (+/-0.151)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 12} 
media: 0.718  desvio: (+/-0.145)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 14} 
media: 0.693  desvio: (+/-0.220)  param: {'max_depth': 3, 'max_features': 10, 'min_samples_leaf': 16, 'min_samples_split': 16} 
media: 0.751  desvio: (+/-0.125)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2} 
media: 0.729  desvio: (+/-0.168)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 4} 
media: 0.738  desvio: (+/-0.183)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 6} 
media: 0.720  desvio: (+/-0.182)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 8} 
media: 0.746  desvio: (+/-0.144)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 10} 
media: 0.714  desvio: (+/-0.174)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 12} 
media: 0.693  desvio: (+/-0.150)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 14} 
media: 0.707  desvio: (+/-0.113)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 16} 
media: 0.713  desvio: (+/-0.278)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 2} 
media: 0.695  desvio: (+/-0.122)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 4} 
media: 0.685  desvio: (+/-0.136)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 6} 
media: 0.712  desvio: (+/-0.143)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 8} 
media: 0.694  desvio: (+/-0.205)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 10} 
media: 0.765  desvio: (+/-0.088)  param: {'max_depth': 4, 'max_features': 5, 'min_samples_leaf': 4, 'min_samples_split': 12} 
